Date,Name,Role,Projects_Finished,Real_Time_Projects,Internship,Educational_Background,Applied Jobs,Getting Interview call,Placement_Statistics (%),Rejection_Reasons,City
8/22/2024,Candidate_1,AI/ML Engineer,4,Yes,No,M.Tech,262,23.07,53.39,Lack of skills,Hyderabad
1/10/2024,Candidate_2,Python Fullstack Developer,15,Yes,Yes,MCA,216,79.33,85.23,No experience,Chennai
4/10/2024,Candidate_3,Python Fullstack Developer,15,Yes,Yes,M.Tech,222,32.8,81.58,No experience,Chennai
3/22/2024,Candidate_4,Python Fullstack Developer,15,Yes,No,BCA,139,59.68,72.43,Communication issues,Chennai
9/26/2024,Candidate_5,Data Analyst,5,Yes,No,BCA,216,37.25,69.62,Lack of skills,Chennai
9/4/2024,Candidate_6,Python Fullstack Developer,7,Yes,Yes,M.Tech,237,26.95,48.14,High competition,Bangalore
11/22/2024,Candidate_7,Python Fullstack Developer,9,Yes,No,B.Tech,192,34.09,51.77,Communication issues,Bangalore
2/1/2024,Candidate_8,Python Fullstack Developer,6,Yes,No,B.Tech,157,79.36,68.4,High competition,Chennai
6/3/2024,Candidate_9,DevOps Engineer,0,No,No,B.Tech,136,53.65,45.16,High competition,Bangalore
1/11/2024,Candidate_10,Data Analyst,3,No,No,MCA,173,39.72,88.79,Communication issues,Bangalore
3/21/2024,Candidate_11,Python Fullstack Developer,0,No,Yes,B.Tech,263,52.7,89.27,Communication issues,Bangalore
7/3/2024,Candidate_12,Data Analyst,14,Yes,Yes,B.Tech,287,32.02,72.98,Communication issues,Hyderabad
1/10/2024,Candidate_13,QA Engineer,3,No,No,MCA,144,61.11,65,Communication issues,Chennai
3/13/2024,Candidate_14,Data Analyst,6,Yes,No,B.Tech,199,24.78,59.59,Communication issues,Bangalore
8/25/2024,Candidate_15,QA Engineer,13,Yes,Yes,MCA,165,58.81,80.85,Communication issues,Bangalore
7/18/2024,Candidate_16,Data Analyst,13,Yes,No,BCA,141,76.79,87.19,Lack of skills,Chennai
3/21/2024,Candidate_17,Data Analyst,1,No,Yes,B.Tech,194,21.24,68.33,Lack of skills,Bangalore
8/3/2024,Candidate_18,AI/ML Engineer,10,Yes,No,B.Tech,289,27.79,89.17,Lack of skills,Chennai
10/23/2024,Candidate_19,AI/ML Engineer,11,Yes,No,MCA,105,64.96,65.85,No experience,Bangalore
1/3/2024,Candidate_20,AI/ML Engineer,6,Yes,Yes,M.Tech,210,35.49,65.73,No experience,Hyderabad
10/21/2024,Candidate_21,Python Fullstack Developer,0,No,No,M.Tech,176,59.45,42.47,Lack of skills,Bangalore
9/12/2024,Candidate_22,Python Fullstack Developer,6,Yes,Yes,MCA,136,60.31,68.9,No experience,Chennai
5/4/2024,Candidate_23,Data Analyst,9,Yes,No,MCA,110,44.93,86.21,No experience,Bangalore
2/26/2024,Candidate_24,Data Analyst,8,Yes,No,B.Tech,217,74.36,48.39,No experience,Chennai
12/16/2024,Candidate_25,Python Fullstack Developer,2,No,No,B.Tech,205,32.25,46.06,Communication issues,Bangalore
5/3/2024,Candidate_26,Data Analyst,9,Yes,No,B.Tech,281,29.83,80.81,High competition,Bangalore
2/3/2024,Candidate_27,Python Fullstack Developer,9,Yes,Yes,MCA,238,25.86,40.75,Lack of skills,Chennai
2/5/2024,Candidate_28,Data Analyst,10,Yes,No,BCA,158,75.9,51.5,Lack of skills,Hyderabad
11/6/2024,Candidate_29,Data Analyst,0,No,Yes,MCA,202,38.57,84.45,No experience,Bangalore
8/8/2024,Candidate_30,DevOps Engineer,3,No,Yes,B.Tech,132,52.54,40.81,Communication issues,Bangalore
10/22/2024,Candidate_31,Data Analyst,10,Yes,Yes,B.Tech,260,52.92,74.58,No experience,Bangalore
9/24/2024,Candidate_32,Python Fullstack Developer,10,Yes,Yes,MCA,190,24.12,59.3,Communication issues,Chennai
7/15/2024,Candidate_33,Python Fullstack Developer,12,Yes,Yes,B.Tech,153,78.97,61.7,Lack of skills,Chennai
12/22/2024,Candidate_34,Python Fullstack Developer,0,No,Yes,B.Tech,203,72.39,45.73,Communication issues,Bangalore
5/18/2024,Candidate_35,Data Analyst,5,Yes,No,B.Tech,207,71.18,85.5,No experience,Hyderabad
7/21/2024,Candidate_36,Python Fullstack Developer,6,Yes,Yes,B.Tech,206,20.2,65.4,No experience,Hyderabad
10/30/2024,Candidate_37,Data Analyst,10,Yes,Yes,B.Tech,217,34.37,71.57,Lack of skills,Chennai
8/14/2024,Candidate_38,Data Analyst,10,Yes,No,MCA,287,66.72,73.57,High competition,Bangalore
11/11/2024,Candidate_39,AI/ML Engineer,15,Yes,Yes,MCA,215,67.67,67.91,Lack of skills,Bangalore
7/30/2024,Candidate_40,Python Fullstack Developer,15,Yes,No,B.Tech,213,76.66,80.1,Communication issues,Hyderabad
9/14/2024,Candidate_41,Data Analyst,1,No,Yes,BCA,199,77.91,64.04,Communication issues,Hyderabad
1/17/2024,Candidate_42,DevOps Engineer,4,Yes,Yes,B.Tech,218,26.8,59.31,High competition,Hyderabad
3/24/2024,Candidate_43,Python Fullstack Developer,15,Yes,No,MCA,193,47.08,40.56,Lack of skills,Bangalore
4/15/2024,Candidate_44,Data Analyst,4,Yes,Yes,B.Tech,186,27.29,44.18,Lack of skills,Chennai
1/30/2024,Candidate_45,QA Engineer,14,Yes,Yes,M.Tech,183,65.96,54.77,Lack of skills,Hyderabad
3/26/2024,Candidate_46,Data Analyst,10,Yes,Yes,B.Tech,270,66.77,58.63,Lack of skills,Chennai
2/6/2024,Candidate_47,Python Fullstack Developer,14,Yes,Yes,M.Tech,202,47.92,79.84,Lack of skills,Chennai
4/11/2024,Candidate_48,Data Analyst,13,Yes,Yes,B.Tech,134,27.33,54.44,Lack of skills,Hyderabad
8/20/2024,Candidate_49,Python Fullstack Developer,1,No,Yes,B.Tech,285,60.08,85.86,Lack of skills,Bangalore
5/13/2024,Candidate_50,Data Analyst,9,Yes,Yes,B.Tech,235,36.7,51.76,No experience,Bangalore
5/15/2024,Candidate_51,QA Engineer,10,Yes,Yes,B.Tech,152,25,67.65,Lack of skills,Hyderabad
3/17/2024,Candidate_52,Data Analyst,0,No,Yes,B.Tech,162,67.34,86.43,Communication issues,Chennai
4/7/2024,Candidate_53,Python Fullstack Developer,6,Yes,Yes,MCA,155,41.19,72.49,Communication issues,Chennai
12/8/2024,Candidate_54,Data Analyst,10,Yes,No,M.Tech,282,43.27,72.06,No experience,Bangalore
8/25/2024,Candidate_55,Data Analyst,11,Yes,Yes,B.Tech,148,31.36,44.25,Communication issues,Bangalore
8/10/2024,Candidate_56,QA Engineer,2,No,No,B.Tech,245,76.7,65.52,Lack of skills,Hyderabad
3/3/2024,Candidate_57,Data Analyst,4,Yes,No,M.Tech,149,63.52,42.37,No experience,Bangalore
9/23/2024,Candidate_58,Data Analyst,8,Yes,Yes,BCA,286,74.66,64.13,Lack of skills,Bangalore
2/29/2024,Candidate_59,Data Analyst,0,No,Yes,B.Tech,268,57.22,61.06,Communication issues,Hyderabad
5/18/2024,Candidate_60,Python Fullstack Developer,10,Yes,Yes,B.Tech,300,78.17,77.55,Lack of skills,Bangalore
12/28/2024,Candidate_61,Data Analyst,12,Yes,Yes,BCA,258,65.99,82.81,Lack of skills,Bangalore
8/22/2024,Candidate_62,Python Fullstack Developer,5,Yes,Yes,B.Tech,193,79.53,72.08,No experience,Chennai
7/22/2024,Candidate_63,AI/ML Engineer,12,Yes,No,B.Tech,218,29.74,49.75,No experience,Bangalore
9/7/2024,Candidate_64,Data Analyst,5,Yes,Yes,B.Tech,240,40.53,55.47,Communication issues,Bangalore
11/4/2024,Candidate_65,Python Fullstack Developer,3,No,No,B.Tech,295,51.33,83.32,Lack of skills,Bangalore
10/11/2024,Candidate_66,Data Analyst,9,Yes,Yes,MCA,204,61.37,69.44,No experience,Chennai
3/24/2024,Candidate_67,Data Analyst,10,Yes,No,MCA,195,31.65,81.6,Lack of skills,Bangalore
1/12/2024,Candidate_68,Python Fullstack Developer,1,No,No,M.Tech,264,79.47,79.51,Lack of skills,Bangalore
4/25/2024,Candidate_69,Data Analyst,8,Yes,No,B.Tech,178,65.44,41.74,Communication issues,Chennai
4/7/2024,Candidate_70,Python Fullstack Developer,13,Yes,Yes,MCA,154,41.08,49.93,Communication issues,Bangalore
3/18/2024,Candidate_71,DevOps Engineer,2,No,No,MCA,200,40.41,78.65,No experience,Chennai
12/11/2024,Candidate_72,QA Engineer,15,Yes,Yes,B.Tech,136,43.36,40.85,Lack of skills,Bangalore
11/16/2024,Candidate_73,Python Fullstack Developer,7,Yes,No,B.Tech,220,65.41,81.77,No experience,Bangalore
4/25/2024,Candidate_74,Data Analyst,11,Yes,No,B.Tech,127,26.21,60.21,No experience,Bangalore
8/27/2024,Candidate_75,Data Analyst,14,Yes,No,B.Tech,238,50.75,49.12,Lack of skills,Bangalore
5/24/2024,Candidate_76,Data Analyst,9,Yes,Yes,B.Tech,266,68.71,58.5,No experience,Hyderabad
11/30/2024,Candidate_77,AI/ML Engineer,6,Yes,No,B.Tech,215,32.74,80.78,Lack of skills,Chennai
6/16/2024,Candidate_78,Data Analyst,9,Yes,Yes,M.Tech,176,31.41,87.17,Communication issues,Chennai
4/6/2024,Candidate_79,Data Analyst,5,Yes,Yes,MCA,298,58.25,87.62,No experience,Chennai
3/31/2024,Candidate_80,DevOps Engineer,3,No,No,BCA,259,66.41,69.42,No experience,Bangalore
7/24/2024,Candidate_81,Data Analyst,11,Yes,No,B.Tech,205,64.86,61.88,No experience,Hyderabad
4/6/2024,Candidate_82,AI/ML Engineer,1,No,No,B.Tech,113,24.01,43.73,Communication issues,Bangalore
8/1/2024,Candidate_83,AI/ML Engineer,6,Yes,No,M.Tech,151,79.58,40.98,No experience,Hyderabad
11/24/2024,Candidate_84,Data Analyst,2,No,Yes,M.Tech,155,33.61,74.45,Communication issues,Bangalore
5/26/2024,Candidate_85,QA Engineer,14,Yes,No,B.Tech,186,59.42,61.8,High competition,Bangalore
3/21/2024,Candidate_86,Data Analyst,0,No,No,BCA,241,74.77,88.62,Communication issues,Chennai
